SampleName,Sample,Date,Project,contributing PI,MetaG Number_of_reads,MetaG Size_bp,Number_of_Bins_Medium_and_High_Quality,Country,GROW_version,has_MetaT,MetaT_bp,has_FTICR,Latitude,Longitude,MetaG_JGI_accession,MetaT sequencing location,MetaT_accession,MetaG mapping,Removed from mapping analysis
NASQAN2014_185,NASQAN2014_185,10/28/14,NASQAN,Byron Crump,83468900,12603803900,77,USA,v1,N,NA,N,32.71866,-114.71884,3300047274,NA,NA,76.934517,No
NASQAN2011_240,NASQAN2011_240,2/8/11,NASQAN,Byron Crump,80787310,12198883810,0,USA,v1,N,NA,N,29.69282,-91.21194,3300046803,NA,NA,3.936874,Yes
NASQAN2011_239,NASQAN2011_239,8/22/11,NASQAN,Byron Crump,79100808,11944222008,2,USA,v1,N,NA,N,30.44567,-91.19156,3300046770,NA,NA,8.347305,Yes
NASQAN2010_121,NASQAN2010_121,10/4/10,NASQAN,Byron Crump,73909218,11160291918,0,USA,v1,N,NA,N,41.78059,-90.25207,3300045422,NA,NA,14.46954,No
NASQAN2012_124,NASQAN2012_124,5/14/12,NASQAN,Byron Crump,72730466,10982300366,0,USA,v1,N,NA,N,37.21647,-89.46758,3300046773,NA,NA,0,Yes
NASQAN2016_060,NASQAN2016_060,7/12/16,NASQAN,Byron Crump,72439574,10938375674,4,USA,v1,N,NA,N,29.85715,-89.97785,3300047456,NA,NA,47.13601,No
NASQAN2015_002,NASQAN2015_002,2/12/15,NASQAN,Byron Crump,64902106,9800218006,0,USA,v1,N,NA,N,29.94937,-85.01547,3300047663,NA,NA,0,Yes
NASQAN2015_151,NASQAN2015_151,10/23/15,NASQAN,Byron Crump,63659436,9612574836,0,USA,v1,N,NA,N,41.72167,-73.94111,3300047394,NA,NA,0,Yes
NASQAN2016_057,NASQAN2016_057,5/3/16,NASQAN,Byron Crump,62660716,9461768116,0,USA,v1,N,NA,N,29.85715,-89.97785,3300047395,NA,NA,0,Yes
NASQAN2011_401,NASQAN2011_401,10/27/11,NASQAN,Byron Crump,62554192,9445682992,5,USA,v1,N,NA,N,38.70981,-91.4385,3300046043,NA,NA,38.701225,No
NASQAN2011_090,NASQAN2011_090,2/22/11,NASQAN,Byron Crump,61792418,9330655118,0,USA,v1,N,NA,N,39.70338,-90.64541,3300046763,NA,NA,0,Yes
NASQAN2014_024,NASQAN2014_024,1/22/14,NASQAN,Byron Crump,61665366,9311470266,3,USA,v1,N,NA,N,29.34969,-95.58245,3300046031,NA,NA,35.27908,No
NASQAN2016_178,NASQAN2016_178,2/17/16,NASQAN,Byron Crump,60023078,9063484778,21,USA,v1,N,NA,N,25.87675,-97.45443,3300047295,NA,NA,86.81376,No
NASQAN2016_164,NASQAN2016_164,1/14/16,NASQAN,Byron Crump,59952076,9052763476,18,USA,v1,N,NA,N,45.00616,-74.79491,3300047294,NA,NA,74.006277,No
NASQAN2011_217,NASQAN2011_217,8/24/11,NASQAN,Byron Crump,57488140,8680709140,0,USA,v1,N,NA,N,29.69799,-91.37289,3300046768,NA,NA,15.19782,No
NASQAN2011_172,NASQAN2011_172,5/18/11,NASQAN,Byron Crump,56414374,8518570474,0,USA,v1,N,NA,N,38.48977,-87.55002,3300046765,NA,NA,0,Yes
NASQAN2014_089,NASQAN2014_089,8/27/14,NASQAN,Byron Crump,55309052,8351666852,8,USA,v1,N,NA,N,31.08657,-87.97722,3300045527,NA,NA,60.407646,No
NASQAN2011_277,NASQAN2011_277,3/7/11,NASQAN,Byron Crump,53486686,8076489586,0,USA,v1,N,NA,N,41.78059,-90.25207,3300046771,NA,NA,0,Yes
NASQAN2011_229,NASQAN2011_229,8/25/11,NASQAN,Byron Crump,43763328,6608262528,0,USA,v1,N,NA,N,30.69074,-91.73623,3300046769,NA,NA,0,Yes
NASQAN2011_034,NASQAN2011_034,2/8/11,NASQAN,Byron Crump,41147108,6213213308,0,USA,v1,N,NA,N,38.13088,-87.94142,3300046762,NA,NA,0,Yes
NASQAN2012_107,NASQAN2012_107,7/18/12,NASQAN,Byron Crump,39255976,5927652376,0,USA,v1,N,NA,N,32.44417,-90.91417,3300045524,NA,NA,20.40056,No
NASQAN2011_194,NASQAN2011_194,5/9/11,NASQAN,Byron Crump,27688102,4180903402,0,USA,v1,N,NA,N,30.75852,-91.39595,3300046766,NA,NA,0,Yes
